Background,Sex,Genotype,Vial,Temp,length
ORE,F,vg1,1,18,1002.91
ORE,F,vg1,1,18,1216.005
ORE,F,vg1,1,18,768.564
ORE,F,vg1,1,18,803.873
ORE,F,vg1,1,18,313.414
ORE,F,vg1,1,18,848.88
ORE,F,vg1,1,18,691.137
ORE,F,vg1,1,18,716.566
ORE,F,vg1,1,18,727.39
ORE,F,vg1,1,18,839.811
ORE,F,vg1,1,18,640.444
ORE,F,vg1,1,18,738.08
ORE,F,vg1,1,18,559.413
ORE,F,vg1,1,18,736.584
ORE,F,vg1,1,18,691.368
ORE,F,vg1,1,18,538.179
ORE,M,vg1,1,18,711.065
ORE,M,vg1,1,18,599.465
ORE,M,vg1,1,18,795.119
ORE,M,vg1,1,18,958.083
ORE,M,vg1,1,18,632.239
ORE,M,vg1,1,18,773.37
ORE,M,vg1,1,18,672.782
ORE,M,vg1,1,18,723.937
ORE,M,vg1,1,18,813.84
ORE,M,vg1,1,18,395.845
ORE,M,vg1,1,18,639.49
ORE,M,vg1,1,18,775.411
ORE,M,vg1,1,18,737.704
ORE,M,vg1,1,18,455.927
ORE,M,vg1,1,18,950.543
ORE,M,vg1,1,18,554.421
ORE,M,vg1,1,18,688.89
ORE,M,vg1,1,18,667.46
ORE,M,vg1,1,18,473.122
ORE,M,vg1,1,18,501.245
ORE,F,vg83b27,1,18,535.264
ORE,F,vg83b27,1,18,393.826
ORE,F,vg83b27,1,18,299.345
ORE,F,vg83b27,1,18,282.731
ORE,F,vg83b27,1,18,390.579
ORE,F,vg83b27,1,18,793.362
ORE,F,vg83b27,1,18,1178.414
ORE,F,vg83b27,1,18,425.689
ORE,F,vg83b27,1,18,366.7
ORE,F,vg83b27,1,18,302.173
ORE,F,vg83b27,1,18,298.448
ORE,F,vg83b27,1,18,578.642
ORE,F,vg83b27,1,18,377.225
ORE,F,vg83b27,1,18,492.505
ORE,F,vg83b27,1,18,306.818
ORE,F,vg83b27,1,18,285.205
ORE,F,vg83b27,1,18,506.529
ORE,F,vg83b27,1,18,758.13
ORE,F,vg83b27,1,18,253.025
ORE,F,vg83b27,1,18,480.548
ORE,M,vg83b27,1,18,346.797
ORE,M,vg83b27,1,18,739.516
ORE,M,vg83b27,1,18,411.387
ORE,M,vg83b27,1,18,411.437
ORE,M,vg83b27,1,18,398.069
ORE,M,vg83b27,1,18,345.769
ORE,M,vg83b27,1,18,419.244
ORE,M,vg83b27,1,18,302.295
ORE,M,vg83b27,1,18,363.356
ORE,M,vg83b27,1,18,360.694
ORE,M,vg83b27,1,18,348.234
ORE,M,vg83b27,1,18,503.935
ORE,M,vg83b27,1,18,467.782
ORE,M,vg83b27,1,18,215.387
ORE,M,vg83b27,1,18,305.61
ORE,M,vg83b27,1,18,648.502
ORE,M,vg83b27,1,18,397.355
ORE,M,vg83b27,1,18,322.428
ORE,M,vg83b27,1,18,717.987
ORE,M,vg83b27,1,18,594.058
